batchName,year,umId,majorTypeId,batchId,courseValue,univName,enrollId,courseGroup,lowScore,zbType,lowRank
本科普通批,2022,10027605,3,2,1,北京师范大学(05),36606171,"地理,历史",668,1,1341
本科提前批A段,2021,10027609,3,1,1,北京师范大学(9),36591699,政治,654,1,1898
本科普通批,2022,10019601,3,2,0,中国农业大学(01),36606149,无限制,630,1,4857
本科普通批,2022,10019602,3,2,1,中国农业大学(02),36606150,物理,628,1,5063
本科普通批,2022,10019603,3,2,1,中国农业大学(03),36606151,"物理,化学,生物",636,1,4186
本科普通批,2022,10019604,3,2,1,中国农业大学(04),36606152,化学,631,1,4761
本科普通批,2022,10019605,3,2,0,中国农业大学(05),36606153,无限制,604,1,8125
本科普通批,2022,10007601,3,2,0,北京理工大学(01),36606209,无限制,657,1,2126
本科普通批,2022,10007602,3,2,1,北京理工大学(02),36606210,物理,659,1,1944
本科普通批,2022,10007603,3,2,0,北京理工大学(03),36606211,无限制,627,1,5172
本科普通批,2022,10007604,3,2,1,北京理工大学(04),36606212,物理,642,1,3533
本科提前批A段,2022,10006604,3,1,1,北京航空航天大学(04),36607444,物理,546,1,17365
本科提前批A段,2022,10006605,3,1,1,北京航空航天大学(05),36607445,物理,521,1,21870
本科普通批,2022,10006601,3,2,0,北京航空航天大学(01),36606207,无限制,652,1,2546
本科普通批,2022,10006602,3,2,1,北京航空航天大学(02),36606208,物理,663,1,1654
本科提前批A段,2022,10003606,3,1,1,清华大学(06),36607436,政治,685,1,491
本科普通批,2022,10003601,3,2,0,清华大学(01),36606130,无限制,689,1,350
本科普通批,2022,10003602,3,2,1,清华大学(02),36606131,物理,688,1,390
本科普通批,2022,10003603,3,2,2,清华大学(03),36606132,"物理,化学",688,1,390
本科提前批A段,2022,10002608,3,1,0,中国人民大学(08),36607434,无限制,669,1,1278
本科提前批A段,2022,10002609,3,1,1,中国人民大学(09),36607435,政治,676,1,857
本科普通批,2022,10002601,3,2,0,中国人民大学(01),36606127,无限制,670,1,1207
本科普通批,2022,10002602,3,2,1,中国人民大学(02),36606128,物理,674,1,966
本科普通批,2022,10002603,3,2,1,中国人民大学(03),36606129,"物理,历史",673,1,1018
本科提前批A段,2022,10001605,3,1,0,北京大学(05),36607432,无限制,676,1,857
本科提前批A段,2022,10001606,3,1,1,北京大学(06),36607433,政治,676,1,857
本科普通批,2022,10001601,3,2,0,北京大学(01),36606123,无限制,687,1,416
本科普通批,2022,10001602,3,2,0,北京大学(02),36606124,无限制,695,1,194
本科普通批,2022,10001603,3,2,1,北京大学(03),36606125,物理,688,1,390
本科普通批,2022,10001604,3,2,1,北京大学(04),36606126,"物理,化学",688,1,390
